2021-02-14 13:06:11 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:11 upgrade libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:11 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2021-02-14 13:06:11 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:11 upgrade ca-certificates:all 20200601~deb10u1 20200601~deb10u2
2021-02-14 13:06:11 status half-configured ca-certificates:all 20200601~deb10u1
2021-02-14 13:06:11 status unpacked ca-certificates:all 20200601~deb10u1
2021-02-14 13:06:11 status half-installed ca-certificates:all 20200601~deb10u1
2021-02-14 13:06:12 status unpacked ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:12 upgrade linux-libc-dev:amd64 4.19.160-2 4.19.171-2
2021-02-14 13:06:12 status half-configured linux-libc-dev:amd64 4.19.160-2
2021-02-14 13:06:12 status unpacked linux-libc-dev:amd64 4.19.160-2
2021-02-14 13:06:12 status half-installed linux-libc-dev:amd64 4.19.160-2
2021-02-14 13:06:20 status unpacked linux-libc-dev:amd64 4.19.171-2
2021-02-14 13:06:20 upgrade sudo:amd64 1.8.27-1+deb10u2 1.8.27-1+deb10u3
2021-02-14 13:06:20 status half-configured sudo:amd64 1.8.27-1+deb10u2
2021-02-14 13:06:20 status unpacked sudo:amd64 1.8.27-1+deb10u2
2021-02-14 13:06:20 status half-installed sudo:amd64 1.8.27-1+deb10u2
2021-02-14 13:06:21 status unpacked sudo:amd64 1.8.27-1+deb10u3
2021-02-14 13:06:21 startup packages configure
2021-02-14 13:06:21 configure libgnutls-dane0:amd64 3.6.7-4+deb10u6 <none>
2021-02-14 13:06:21 status unpacked libgnutls-dane0:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 status half-configured libgnutls-dane0:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 status installed libgnutls-dane0:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 configure libgnutls-openssl27:amd64 3.6.7-4+deb10u6 <none>
2021-02-14 13:06:21 status unpacked libgnutls-openssl27:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 status half-configured libgnutls-openssl27:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 status installed libgnutls-openssl27:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:21 configure libmagic-mgc:amd64 1:5.35-4+deb10u2 <none>
2021-02-14 13:06:21 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 status installed libmagic-mgc:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 configure libmagic1:amd64 1:5.35-4+deb10u2 <none>
2021-02-14 13:06:21 status unpacked libmagic1:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 status half-configured libmagic1:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 status installed libmagic1:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:21 configure linux-libc-dev:amd64 4.19.171-2 <none>
2021-02-14 13:06:21 status unpacked linux-libc-dev:amd64 4.19.171-2
2021-02-14 13:06:21 status half-configured linux-libc-dev:amd64 4.19.171-2
2021-02-14 13:06:21 status installed linux-libc-dev:amd64 4.19.171-2
2021-02-14 13:06:21 configure systemd:amd64 241-7~deb10u6 <none>
2021-02-14 13:06:21 status unpacked systemd:amd64 241-7~deb10u6
2021-02-14 13:06:21 status half-configured systemd:amd64 241-7~deb10u6
2021-02-14 13:06:21 status installed systemd:amd64 241-7~deb10u6
2021-02-14 13:06:22 configure file:amd64 1:5.35-4+deb10u2 <none>
2021-02-14 13:06:22 status unpacked file:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:22 status half-configured file:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:22 status installed file:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:22 configure libldap-common:all 2.4.47+dfsg-3+deb10u5 <none>
2021-02-14 13:06:22 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:22 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:22 status installed libldap-common:all 2.4.47+dfsg-3+deb10u5
2021-02-14 13:06:22 configure tzdata:all 2021a-0+deb10u1 <none>
2021-02-14 13:06:22 status unpacked tzdata:all 2021a-0+deb10u1
2021-02-14 13:06:22 status half-configured tzdata:all 2021a-0+deb10u1
2021-02-14 13:06:22 status installed tzdata:all 2021a-0+deb10u1
2021-02-14 13:06:22 configure ca-certificates:all 20200601~deb10u2 <none>
2021-02-14 13:06:22 status unpacked ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:22 status half-configured ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:24 status installed ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:24 status triggers-pending ca-certificates:all 20200601~deb10u2
2021-02-14 13:06:24 configure sudo:amd64 1.8.27-1+deb10u3 <none>
2021-02-14 13:06:24 status unpacked sudo:amd64 1.8.27-1+deb10u3
2021-02-14 13:06:24 status half-configured sudo:amd64 1.8.27-1+deb10u3
2021-02-14 13:06:24 status installed sudo:amd64 1.8.27-1+deb10u3
2021-02-14 13:06:24 configure libgnutlsxx28:amd64 3.6.7-4+deb10u6 <none>
2021-02-14 13:06:24 status unpacked libgnutlsxx28:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:24 status half-configured libgnutlsxx28:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:24 status installed libgnutlsxx28:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:25 configure libgnutls28-dev:amd64 3.6.7-4+deb10u6 <none>
2021-02-14 13:06:25 status unpacked libgnutls28-dev:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:25 status half-configured libgnutls28-dev:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:25 status installed libgnutls28-dev:amd64 3.6.7-4+deb10u6
2021-02-14 13:06:25 configure systemd-sysv:amd64 241-7~deb10u6 <none>
2021-02-14 13:06:25 status unpacked systemd-sysv:amd64 241-7~deb10u6
2021-02-14 13:06:25 status half-configured systemd-sysv:amd64 241-7~deb10u6
2021-02-14 13:06:25 status installed systemd-sysv:amd64 241-7~deb10u6
2021-02-14 13:06:25 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u5 <none>
